Source,Page,Type,Label/Title,Content
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 1: Mobile Subscriptions and Penetration ............................................................................. 1,| LIST OF FIGURES  | Figure 1: Mobile Subscriptions and Penetration ............................................................................. 1  | Figure 2: Mobile Subscription per Operator ................................................................................... 2  | Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 3  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 4  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 2: Mobile Subscription per Operator ................................................................................... 2,"LIST OF FIGURES  | Figure 1: Mobile Subscriptions and Penetration ............................................................................. 1  | Figure 2: Mobile Subscription per Operator ................................................................................... 2  | Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 3  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 4  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 3:Mobile Money Services.................................................................................................... 3,"Figure 1: Mobile Subscriptions and Penetration ............................................................................. 1  | Figure 2: Mobile Subscription per Operator ................................................................................... 2  | Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 3  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 4  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 4: Mobile Data Subscriptions .............................................................................................. 3,"Figure 2: Mobile Subscription per Operator ................................................................................... 2  | Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 3  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 4  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 5: Mobile Broadband Consumption .................................................................................... 4,"Figure 3:Mobile Money Services.................................................................................................... 3  | Figure 4: Mobile Data Subscriptions .............................................................................................. 3  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 4  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 4,"Figure 4: Mobile Data Subscriptions .............................................................................................. 3  | Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 4  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 7: Mobile Market Shares ..................................................................................................... 5,"Figure 5: Mobile Broadband Consumption .................................................................................... 4  | Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 4  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 8: Mobile Phone Devices..................................................................................................... 6,"Figure 6: Mobile Broadband Consumption per Broadband Subscription ...................................... 4  | Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7,"Figure 7: Mobile Market Shares ..................................................................................................... 5  | Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |   |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8,"Figure 8: Mobile Phone Devices..................................................................................................... 6  | Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |   |   |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,"Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10","Figure 9: Market Shares in Domestic Mobile Voice and SMS ...................................................... 7  | Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |   |   |   |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,3,Chart,Figure 12: Fixed Voice Subscriptions .......................................................................................... 11,"Figure 10: MoU/Month/Subscription vs SMS/Month/Subscription ............................................... 8  | Figure 11: Distribution of Tariffs, Promotions and Special Offer ................................................ 10  | Figure 12: Fixed Voice Subscriptions .......................................................................................... 11  |   |   |   |   |   |   |   |"
_Sector Statistics Report Q3 2025-2026.pdf,9,Chart,Figure 1 illustrates trends in mobile (SIM) subscriptions and the respective penetration rates.,"is attributed to the various customer win-back campaigns run by operators during the reference period.  |   | Figure 1 illustrates trends in mobile (SIM) subscriptions and the respective penetration rates.  |   |   | Source: CA, Operators’ Returns  | Figure 1: Mobile Subscriptions and Penetration  |   | Figure 2 shows the number of active mobile (SIM) subscriptions per operator by contract type. Pre-paid  | mobile subscriptions accounted for 96.5 per cent of the total mobile subscriptions.  |   | 1 Active subscriptions refer to subscriptions that have generated revenue in the last 3 months"
_Sector Statistics Report Q3 2025-2026.pdf,9,Chart,Figure 1: Mobile Subscriptions and Penetration,"| Source: CA, Operators’ Returns  | Figure 1: Mobile Subscriptions and Penetration  |   | Figure 2 shows the number of active mobile (SIM) subscriptions per operator by contract type. Pre-paid  | mobile subscriptions accounted for 96.5 per cent of the total mobile subscriptions.  |   | 1 Active subscriptions refer to subscriptions that have generated revenue in the last 3 months   |"
